gender,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,etest_p,salary,Majoredu,workexp,location,skill1,skill2,skill3,skill4,Jobprofile
F,78.0,Central,77.0,Others,80.0,60.0,287000.0,Computer,6,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,83.96,Others,53.0,Others,91.0,59.32,260000.0,Architecture,7,Nagpur,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Buisness,1,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,84.0,Others,90.9,Others,64.5,86.04,270000.0,Architecture,6,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,69.0,Others,60.0,Others,65.0,87.55,300000.0,Buisness,4,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,79.33,Central,78.33,Others,77.48,86.5,200000.0,Computer,7,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,67.0,Central,70.0,Central,65.0,88.0,,Computer,5,Chennai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,61.0,Central,81.0,Central,66.4,50.89,278000.0,Architecture,2,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,67.9,Others,62.0,Others,67.0,58.1,,Art,1,Mumbai,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,62.0,Others,63.0,Others,64.0,67.0,220000.0,Architecture,4,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,63.4,Others,67.2,Others,60.0,58.06,,Art,5,Ahmedabad,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,84.2,Central,73.4,Central,66.89,61.6,300000.0,Computer,1,kolkata,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,80.4,Central,73.4,Central,77.72,81.2,400000.0,Architecture,1,Hyderabad,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,52.0,Others,52.0,Others,55.0,67.0,,Architecture,6,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,64.0,Central,73.5,Central,73.0,52.0,250000.0,Buisness,4,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,85.8,Central,73.6,Central,73.3,96.8,425000.0,Art,3,Ahmedabad,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,50.0,Others,37.0,Others,52.0,65.0,,Architecture,2,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,65.2,Central,61.4,Central,64.8,93.4,270000.0,Architecture,2,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,55.0,Others,49.8,Others,67.25,55.0,,Buisness,7,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,46.0,Others,49.2,Others,79.0,74.28,,Art,6,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,87.0,Others,65.0,Others,81.0,88.0,260000.0,Architecture,2,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,69.0,Central,73.0,Central,65.0,70.0,220000.0,Architecture,2,Noida,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,75.2,Central,73.2,Central,68.4,65.0,200000.0,Buisness,2,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,62.0,Central,72.0,Central,65.0,67.0,216000.0,Computer,5,Mumbai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,84.0,Central,73.0,Central,73.0,75.0,350000.0,Computer,1,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,73.0,Others,58.0,Others,56.0,84.0,300000.0,Architecture,7,Gurgaon,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Computer,4,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,44.0,Central,58.0,Central,55.0,64.25,,Buisness,6,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,62.0,Central,72.0,Central,65.0,67.0,216000.0,Computer,3,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,59.0,Central,60.0,Others,56.0,55.0,220000.0,Buisness,5,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Architecture,4,Pune,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Art,5,Pune,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,74.0,Others,73.0,Others,73.0,80.0,210000.0,Art,6,Hyderabad,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,87.0,Others,87.0,Others,68.0,95.0,300000.0,Art,6,Nagpur,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,74.0,Others,66.0,Others,58.0,70.0,204000.0,Buisness,1,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,62.0,Others,63.0,Others,64.0,67.0,220000.0,Architecture,1,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,61.0,Others,70.0,Others,64.0,68.5,,Computer,7,Delhi,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,63.0,Central,67.0,Central,74.0,82.0,,Computer,3,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,80.0,Others,80.0,Others,72.0,63.79,290000.0,Architecture,5,Noida,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Buisness,1,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,73.24,Others,50.83,Others,64.27,64.0,500000.0,Computer,3,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,52.0,Central,64.0,Central,61.0,55.0,,Art,3,kolkata,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,58.0,Central,61.0,Central,60.0,62.0,260000.0,Computer,3,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,58.0,Central,61.0,Central,60.0,62.0,260000.0,Computer,5,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,74.0,Others,73.0,Others,73.0,80.0,210000.0,Buisness,2,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,56.28,Others,62.83,Others,59.79,60.0,,Buisness,7,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,43.0,Central,60.0,Others,65.0,92.66,,Computer,5,kolkata,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,63.0,Others,67.0,Others,64.0,75.0,500000.0,Computer,5,kolkata,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,74.0,Others,66.0,Others,58.0,70.0,204000.0,Computer,3,Nagpur,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,76.5,Others,97.7,Others,78.86,97.4,360000.0,Art,7,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,76.76,Others,76.5,Others,67.5,73.35,350000.0,Computer,5,Banglore,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,62.0,Central,47.0,Central,50.0,76.0,,Art,2,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,60.0,Others,67.0,Others,70.0,50.48,236000.0,Art,7,kolkata,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,52.58,Others,54.6,Central,50.2,76.0,,Art,3,Nagpur,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Computer,2,Pune,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,55.6,Others,51.0,Others,57.5,57.63,,Art,6,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,70.0,Central,74.0,Central,65.0,83.0,300000.0,Architecture,5,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,89.4,Others,65.66,Others,71.25,72.0,400000.0,Computer,4,Chennai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,74.2,Central,87.6,Others,77.25,75.2,285000.0,Computer,3,Ahmedabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,64.0,Others,70.2,Central,61.0,50.0,,Buisness,1,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,60.0,Others,67.0,Others,70.0,50.48,236000.0,Art,7,kolkata,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Buisness,1,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,41.0,Central,42.0,Central,60.0,97.0,,Buisness,6,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,63.0,Central,66.2,Central,65.6,60.0,300000.0,Art,4,kolkata,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Architecture,1,Pune,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,49.0,Others,39.0,Central,65.0,63.0,,Art,7,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,65.2,Central,61.4,Central,64.8,93.4,270000.0,Architecture,3,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,64.0,Central,73.5,Central,73.0,52.0,250000.0,Buisness,3,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,55.0,Others,49.8,Others,67.25,55.0,,Computer,1,Pune,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,84.0,Others,75.0,Others,69.0,62.0,210000.0,Computer,2,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,74.0,Others,73.0,Others,73.0,80.0,210000.0,Architecture,1,Noida,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,73.24,Others,50.83,Others,64.27,64.0,500000.0,Architecture,2,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,67.0,Others,63.0,Others,64.0,60.0,,Buisness,1,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,66.5,Central,66.8,Central,69.3,80.4,236000.0,Architecture,7,Gurgaon,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,78.0,Central,77.0,Others,80.0,60.0,287000.0,Computer,2,kolkata,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,73.0,Others,58.0,Others,66.0,53.7,240000.0,Art,3,Mumbai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,74.0,Others,63.16,Others,65.0,65.0,,Computer,5,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,74.0,Others,59.0,Others,73.0,60.0,240000.0,Computer,1,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,69.7,Central,47.0,Central,72.7,79.0,,Computer,2,Banglore,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,80.6,Others,82.0,Others,77.6,91.0,400000.0,Buisness,4,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,55.0,Others,49.8,Others,67.25,55.0,,Buisness,1,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,84.0,Others,90.9,Others,64.5,86.04,270000.0,Buisness,2,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,43.0,Central,60.0,Others,65.0,92.66,,Computer,5,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,51.0,Central,44.0,Central,57.0,64.0,,Architecture,3,Ahmedabad,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,69.0,Others,60.0,Others,65.0,87.55,300000.0,Architecture,7,Pune,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,43.0,Central,60.0,Others,65.0,92.66,,Computer,3,Nagpur,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,82.0,Central,64.0,Central,66.0,67.0,252000.0,Architecture,2,Banglore,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,73.0,Central,73.0,Central,66.0,70.0,275000.0,Computer,1,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,44.0,Central,58.0,Central,55.0,64.25,,Computer,4,Ahmedabad,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,67.9,Others,62.0,Others,67.0,58.1,,Buisness,7,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,52.0,Central,64.0,Central,61.0,55.0,,Buisness,3,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,56.0,Central,52.0,Central,52.0,66.0,,Art,1,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,58.0,Central,62.0,Central,64.0,53.88,260000.0,Architecture,2,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,77.0,Others,75.0,Others,73.0,80.0,240000.0,Architecture,7,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,84.86,Others,67.0,Others,78.0,95.5,240000.0,Computer,1,Gurgaon,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,73.0,Others,58.0,Others,56.0,84.0,300000.0,Art,3,Mumbai,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Computer,7,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,55.6,Others,51.0,Others,57.5,57.63,,Art,6,Delhi,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,69.0,Others,60.0,Others,65.0,87.55,300000.0,Buisness,7,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,65.0,Central,68.0,Others,69.0,53.7,250000.0,Art,2,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,50.0,Others,37.0,Others,52.0,65.0,,Architecture,2,Banglore,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,84.0,Others,79.0,Others,68.0,84.0,300000.0,Computer,5,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,80.0,Others,73.0,Others,75.0,61.0,240000.0,Art,1,Mumbai,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,59.0,Central,60.0,Others,56.0,55.0,220000.0,Computer,2,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,73.0,Central,73.0,Central,66.0,70.0,275000.0,Architecture,1,kolkata,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,62.0,Others,62.0,Others,60.0,63.0,240000.0,Buisness,5,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,73.0,Others,58.0,Others,66.0,53.7,240000.0,Computer,4,Banglore,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,56.0,Central,52.0,Central,52.0,66.0,,Architecture,7,Pune,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,80.92,Others,78.5,Others,67.0,68.71,275000.0,Computer,3,Banglore,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,76.0,Central,64.0,Central,72.0,58.0,,Buisness,7,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Buisness,6,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,77.4,Others,60.0,Others,64.74,92.0,300000.0,Buisness,3,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,81.7,Others,63.0,Others,67.0,86.0,300000.0,Computer,3,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,66.0,Central,62.0,Central,73.0,58.0,210000.0,Computer,7,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,77.0,Others,73.0,Others,81.0,89.0,200000.0,Buisness,1,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,40.89,Others,45.83,Others,53.0,71.2,,Art,6,Hyderabad,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,80.6,Others,82.0,Others,77.6,91.0,400000.0,Buisness,5,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,52.58,Others,54.6,Central,50.2,76.0,,Computer,7,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,85.8,Central,73.6,Central,73.3,96.8,425000.0,Art,3,Pune,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,58.0,Central,70.0,Central,61.0,54.0,,Buisness,3,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,53.0,Central,63.0,Others,60.0,70.0,250000.0,Art,4,Nagpur,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,69.5,Central,70.0,Central,72.0,57.2,250000.0,Buisness,2,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,66.5,Central,66.8,Central,69.3,80.4,236000.0,Art,5,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,41.0,Central,42.0,Central,60.0,97.0,,Art,6,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Buisness,4,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,84.0,Others,79.0,Others,68.0,84.0,300000.0,Architecture,7,kolkata,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,80.0,Others,80.0,Others,72.0,63.79,290000.0,Buisness,4,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,67.16,Central,72.5,Central,63.35,53.04,250000.0,Art,2,Delhi,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,64.0,Central,73.5,Central,73.0,52.0,250000.0,Buisness,5,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Buisness,3,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,73.24,Others,50.83,Others,64.27,64.0,500000.0,Computer,3,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,65.2,Central,61.4,Central,64.8,93.4,270000.0,Architecture,3,Delhi,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,77.0,Central,87.0,Central,59.0,68.0,218000.0,Architecture,5,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Buisness,3,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,63.0,Central,66.0,Central,64.0,68.0,,Computer,6,kolkata,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,66.0,Central,62.0,Central,73.0,58.0,210000.0,Computer,7,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,66.5,Central,66.8,Central,69.3,80.4,236000.0,Buisness,5,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,76.0,Central,64.0,Central,72.0,58.0,,Architecture,5,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,65.0,Central,71.5,Others,62.8,57.0,265000.0,Buisness,6,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,58.0,Central,61.0,Central,60.0,62.0,260000.0,Art,3,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,60.0,Others,67.0,Others,70.0,50.48,236000.0,Buisness,6,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,63.0,Others,62.0,Others,65.0,87.5,,Art,3,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,63.0,Others,62.0,Others,65.0,87.5,,Computer,5,Mumbai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,55.0,Central,67.0,Central,64.0,60.0,,Architecture,6,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,76.0,Central,80.0,Central,78.0,97.0,276000.0,Buisness,7,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,67.0,Others,68.0,Others,64.0,74.4,300000.0,Art,4,kolkata,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,56.28,Others,62.83,Others,59.79,60.0,,Architecture,7,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,63.0,Others,62.0,Others,65.0,87.5,,Computer,1,Hyderabad,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Buisness,2,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,50.0,Others,37.0,Others,52.0,65.0,,Architecture,1,Nagpur,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,68.0,Central,76.0,Central,74.0,80.0,360000.0,Computer,3,Nagpur,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,83.33,Central,78.0,Others,61.0,88.56,300000.0,Computer,3,kolkata,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,69.8,Others,60.8,Others,72.23,55.53,360000.0,Art,3,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,74.0,Others,66.0,Others,58.0,70.0,204000.0,Buisness,4,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Computer,7,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,46.0,Others,49.2,Others,79.0,74.28,,Buisness,3,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,67.0,Others,68.0,Others,64.0,74.4,300000.0,Art,4,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,80.0,Others,73.0,Others,75.0,61.0,240000.0,Buisness,6,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,69.0,Central,78.0,Central,72.0,71.0,300000.0,Architecture,3,Nagpur,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,65.0,Central,77.0,Central,69.0,60.0,276000.0,Art,1,Nagpur,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,77.0,Central,87.0,Central,59.0,68.0,218000.0,Computer,5,Delhi,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Architecture,4,Noida,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,67.0,Others,91.0,Others,58.0,55.0,270000.0,Computer,3,Banglore,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,56.6,Central,64.8,Central,70.2,84.27,336000.0,Buisness,1,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,73.0,Others,58.0,Others,66.0,53.7,240000.0,Computer,3,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Buisness,5,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,83.33,Central,78.0,Others,61.0,88.56,300000.0,Art,4,Chennai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,55.68,Others,61.33,Others,56.87,66.0,260000.0,Buisness,6,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,79.0,Central,76.0,Central,65.6,58.0,320000.0,Buisness,6,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,51.57,Others,74.66,Others,59.9,56.15,,Architecture,4,Hyderabad,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,43.0,Central,60.0,Others,65.0,92.66,,Computer,5,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,66.0,Central,76.0,Central,72.0,84.0,275000.0,Computer,2,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,74.0,Central,70.0,Central,72.0,60.0,260000.0,Computer,4,Nagpur,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,40.89,Others,45.83,Others,53.0,71.2,,Computer,2,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,52.0,Central,63.0,Others,65.0,86.0,,Architecture,2,Delhi,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,69.6,Central,68.4,Central,78.3,60.0,250000.0,Computer,2,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,52.0,Central,64.0,Central,61.0,55.0,,Computer,6,Nagpur,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Art,5,Chennai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,84.86,Others,67.0,Others,78.0,95.5,240000.0,Computer,5,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Buisness,2,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,54.4,Central,61.12,Central,56.2,67.0,,Computer,6,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,61.08,Others,50.0,Others,54.0,71.0,,Buisness,5,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Art,1,Noida,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,67.0,Others,91.0,Others,58.0,55.0,270000.0,Buisness,2,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,43.0,Central,60.0,Others,65.0,92.66,,Buisness,5,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,73.0,Central,79.0,Central,72.0,91.34,231000.0,Buisness,3,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,45.0,Others,57.0,Others,58.0,56.39,,Computer,7,Nagpur,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,48.0,Central,51.0,Central,58.0,60.0,,Architecture,5,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,79.33,Central,78.33,Others,77.48,86.5,200000.0,Computer,2,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,80.0,Others,80.0,Others,72.0,63.79,290000.0,Buisness,7,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
